Ranking,Player,Team,Salary
224,Anthony Morrow,Oklahoma City Thunder,"$3,488,000"
225,Trey Burke,Washington Wizards,"$3,386,598"
226,Mike Scott,Atlanta Hawks,"$3,333,334"
227,K.J. McDaniels,Houston Rockets,"$3,333,333"
228,Troy Daniels,Memphis Grizzlies,"$3,332,940"
229,Julius Randle,Los Angeles Lakers,"$3,267,120"
230,Emmanuel Mudiay,Denver Nuggets,"$3,241,800"
231,C.J. McCollum,Portland Trail Blazers,"$3,219,579"
232,Jamal Murray,Denver Nuggets,"$3,210,840"
233,Michael Carter-Williams,Milwaukee Bucks,"$3,183,526"
234,Steven Adams,Oklahoma City Thunder,"$3,140,517"
235,Kelly Olynyk,Boston Celtics,"$3,094,014"
236,Shabazz Muhammad,Minnesota Timberwolves,"$3,046,299"
237,Tibor Pleiss,Utah Jazz,"$3,000,000"
238,Justin Hamilton,Brooklyn Nets,"$3,000,000"
239,Giannis Antetokounmpo,Milwaukee Bucks,"$2,995,421"
240,Nik Stauskas,Philadelphia 76ers,"$2,993,040"
241,Dante Cunningham,New Orleans Pelicans,"$2,978,250"
242,Stanley Johnson,Detroit Pistons,"$2,969,880"
243,Marquese Chriss,Phoenix Suns,"$2,941,440"
244,Omri Casspi,Sacramento Kings,"$2,936,814"
245,Dion Waiters,Miami Heat,"$2,898,000"
246,James Ennis,Memphis Grizzlies,"$2,898,000"
247,Dewayne Dedmon,San Antonio Spurs,"$2,898,000"
248,Mindaugas Kuzminskas,New York Knicks,"$2,898,000"
249,Seth Curry,Dallas Mavericks,"$2,898,000"
250,Tomas Satoransky,Washington Wizards,"$2,870,813"
251,Noah Vonleh,Portland Trail Blazers,"$2,751,360"
252,Frank Kaminsky III,Charlotte Hornets,"$2,730,000"
253,Dennis Schroder,Atlanta Hawks,"$2,708,582"
254,Jakob Poeltl,Toronto Raptors,"$2,703,960"
255,Aaron Brooks,Indiana Pacers,"$2,700,000"
256,Elfrid Payton,Orlando Magic,"$2,613,600"
257,Justise Winslow,Miami Heat,"$2,593,440"
258,Thon Maker,Milwaukee Bucks,"$2,568,600"
259,Ronnie Price,Oklahoma City Thunder,"$2,557,545"
260,Randy Foye,Brooklyn Nets,"$2,500,000"
261,Richard Jefferson,Cleveland Cavaliers,"$2,500,000"
262,Malcolm Delaney,Atlanta Hawks,"$2,500,000"
263,Doug McDermott,Chicago Bulls,"$2,483,040"
264,Myles Turner,Indiana Pacers,"$2,463,840"
265,Domantas Sabonis,Oklahoma City Thunder,"$2,440,200"
266,Shelvin Mack,Utah Jazz,"$2,433,334"
267,Tony Snell,Chicago Bulls,"$2,368,327"
268,Gorgui Dieng,Minnesota Timberwolves,"$2,348,783"
269,Trey Lyles,Utah Jazz,"$2,340,600"
270,Mason Plumlee,Portland Trail Blazers,"$2,328,530"
271,Dario Saric,Philadelphia 76ers,"$2,318,280"
272,Taurean Prince,Atlanta Hawks,"$2,318,280"
273,Tim Hardaway Jr.,Atlanta Hawks,"$2,281,605"
274,Reggie Bullock,Detroit Pistons,"$2,255,644"
275,Zach LaVine,Minnesota Timberwolves,"$2,240,880"
276,Devin Booker,Phoenix Suns,"$2,223,600"
277,Luc Richard Mbah a Moute,LA Clippers,"$2,203,000"
278,Georgios Papagiannis,Sacramento Kings,"$2,202,240"
279,Mo Williams,Cleveland Cavaliers,"$2,194,500"
